  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,      TS,      T2,   TDEEP,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL, SNOWDEP
<<<<<<< HEAD
 15.,   0.00,-13.84,-13.42, 78.05, 75.10,  1.076,  4.900,-14.61,-13.51,  7.74 , 90.00,   0.00, -31.73,0.,0.,-208.76,-208.76
 15.,  60.00,-13.95,-13.58, 81.12, 78.43,  1.077,  4.908,-14.62,-13.71,  7.74 , 90.00,   0.00, -31.76,0.,0.,   0.00,   0.00
 15., 120.00,-14.02,-13.71, 84.09, 81.76,  1.079,  4.916,-14.58,-13.88,  7.74 , 90.00,   0.00, -31.77,0.,0.,   0.00,   0.00
 15., 180.00,-14.18,-13.82, 87.98, 85.09,  1.081,  4.924,-14.85,-13.99,  7.74 , 90.00,   0.00, -31.75,0.,0.,   0.00,   0.00
 15., 240.00,-14.26,-13.90, 91.33, 88.42,  1.082,  4.931,-14.91,-14.11,  7.74 , 90.00,   0.00, -31.71,0.,0.,   0.00,   0.00
 15., 300.00,-14.34,-13.98, 94.84, 91.75,  1.084,  4.939,-15.00,-14.19,  7.74 , 90.00,   0.00, -31.65,0.,0.,   0.00,   0.00
 15., 360.00,-14.29,-14.04, 97.32, 95.08,  1.086,  4.949,-14.76,-14.30,  7.74 , 90.00,   0.00, -31.59,0.,0.,   0.00,   0.00
 15., 420.00,-14.44,-14.08,100.00, 99.25,  1.087,  4.953,-15.08,-14.33,  7.74 , 90.00,   0.35, -31.48,0.,0.,   0.00,   0.00
 15., 480.00,-13.88,-13.84, 99.56, 99.25,  1.084,  4.936,-13.94,-13.81,  7.74 , 84.65,  34.54, -31.17,0.,0.,   0.00,   0.00
 15., 540.00,-11.34,-11.95, 84.78, 89.61,  1.080,  4.919,-10.21,-11.59,  7.74 , 76.45, 116.52, -29.25,0.,0.,   0.00,   0.00
 15., 600.00, -7.79, -9.13, 68.17, 76.72,  1.076,  4.902, -5.31, -8.21,  7.74 , 69.97, 195.11, -26.37,0.,0.,   0.00,   0.00
 15., 660.00, -4.44, -6.20, 43.84, 50.95,  1.072,  4.885, -1.23, -4.83,  7.74 , 65.76, 244.91, -24.35,0.,0.,   0.00,   0.00
 15., 720.00, -2.06, -4.01, 43.24, 50.95,  1.065,  4.851,  1.50, -2.21,  7.74 , 64.30, 263.18, -21.66,0.,0.,   0.00,   0.00
 15., 780.00, -1.29, -3.20, 45.14, 52.96,  1.065,  4.851,  2.20, -1.05,  7.74 , 65.76, 244.82, -20.50,0.,0.,   0.00,   0.00
 15., 840.00, -2.47, -4.01, 48.28, 54.98,  1.066,  4.855,  0.35, -1.64,  7.74 , 69.97, 195.95, -21.36,0.,0.,   0.00,   0.00
 15., 900.00, -5.31, -6.20, 52.82, 56.99,  1.067,  4.860, -3.70, -4.00,  7.74 , 76.45, 117.27, -23.92,0.,0.,   0.00,   0.00
 15., 960.00, -9.02, -9.13, 58.42, 59.00,  1.068,  4.864, -8.82, -7.44,  7.74 , 84.65,  34.83, -27.39,0.,0.,   0.00,   0.00
 15.,1020.00,-10.96,-10.68, 62.57, 61.01,  1.069,  4.869,-11.48,-10.03,  7.74 , 90.00,   0.35, -29.16,0.,0.,   0.00,   0.00
 15.,1080.00,-11.64,-11.34, 64.75, 63.03,  1.070,  4.873,-12.19,-11.21,  7.74 , 90.00,   0.00, -29.85,0.,0.,   0.00,   0.00
 15.,1140.00,-12.24,-11.88, 67.21, 65.04,  1.071,  4.878,-12.91,-11.82,  7.74 , 90.00,   0.00, -30.39,0.,0.,   0.00,   0.00
 15.,1200.00,-12.73,-12.32, 69.59, 67.05,  1.072,  4.882,-13.48,-12.29,  7.74 , 90.00,   0.00, -30.82,0.,0.,   0.00,   0.00
 15.,1260.00,-13.05,-12.68, 71.40, 69.06,  1.073,  4.887,-13.72,-12.69,  7.74 , 90.00,   0.00, -31.15,0.,0.,   0.00,   0.00
 15.,1320.00,-13.30,-12.98, 73.21, 71.08,  1.074,  4.891,-13.90,-13.02,  7.74 , 90.00,   0.00, -31.40,0.,0.,   0.00,   0.00
 15.,1380.00,-13.59,-13.22, 75.59, 73.09,  1.075,  4.896,-14.26,-13.28,  7.74 , 90.00,   0.00, -31.59,0.,0.,   0.00,   0.00
 46.,   0.00,-11.68,-11.32, 76.67, 74.20,  1.054,  4.800,-12.35,-11.13,  7.74 , 90.00,   0.00, -29.99,0.,0.,-478.15,   0.00
 46.,  60.00,-11.80,-11.48, 80.33, 78.06,  1.056,  4.809,-12.38,-11.35,  7.74 , 90.00,   0.00, -29.98,0.,0.,   0.00,   0.00
 46., 120.00,-11.96,-11.60, 84.64, 81.92,  1.057,  4.817,-12.63,-11.51,  7.74 , 90.00,   0.00, -29.94,0.,0.,   0.00,   0.00
 46., 180.00,-11.82,-11.70, 86.67, 85.78,  1.059,  4.826,-12.03,-11.72,  7.74 , 90.00,   0.00, -29.87,0.,0.,   0.00,   0.00
 46., 240.00,-12.14,-11.78, 92.59, 89.64,  1.061,  4.835,-12.80,-11.77,  7.74 , 90.00,   0.00, -29.79,0.,0.,   0.00,   0.00
 46., 300.00,-12.32,-11.85, 97.59, 93.49,  1.064,  4.848,-13.19,-11.83,  7.74 , 90.00,   0.00, -29.70,0.,0.,   0.00,   0.00
 46., 360.00,-12.25,-11.90,100.00, 99.26,  1.066,  4.855,-12.90,-11.94,  7.74 , 90.00,   0.00, -29.51,0.,0.,   0.00,   0.00
 46., 420.00,-12.26,-11.92,100.00, 99.26,  1.063,  4.841,-12.88,-11.85,  7.74 , 87.87,  10.14, -29.52,0.,0.,   0.00,   0.00
 46., 480.00,-10.09,-10.56, 89.81, 93.62,  1.059,  4.826, -9.24,-10.06,  7.74 , 78.23,  96.85, -28.07,0.,0.,   0.00,   0.00
 46., 540.00, -6.63, -8.15, 72.29, 82.50,  1.056,  4.811, -3.87, -6.53,  7.74 , 69.43, 206.13, -25.57,0.,0.,   0.00,   0.00
 46., 600.00, -2.86, -5.26, 58.24, 71.38,  1.053,  4.796,  1.51, -2.40,  7.74 , 62.32, 298.38, -22.53,0.,0.,   0.00,   0.00
 46., 660.00,  0.44, -2.53, 38.58, 49.14,  1.050,  4.782,  5.83,  1.34,  7.74 , 57.61, 358.31, -20.69,0.,0.,   0.00,   0.00
 46., 720.00,  2.62, -0.60, 38.73, 49.14,  1.043,  4.752,  8.47,  3.91,  7.74 , 55.94, 369.98, -18.26,0.,0.,   0.00,   0.00
 46., 780.00,  3.32,  0.10, 40.67, 51.23,  1.043,  4.752,  9.16,  5.11,  7.74 , 57.61, 358.18, -17.20,0.,0.,   0.00,   0.00
 46., 840.00,  2.14, -0.60, 43.49, 53.32,  1.044,  4.756,  7.12,  4.49,  7.74 , 62.32, 299.30, -17.90,0.,0.,   0.00,   0.00
 46., 900.00, -0.63, -2.53, 47.28, 55.41,  1.045,  4.761,  2.83,  2.01,  7.74 , 69.43, 207.09, -20.18,0.,0.,   0.00,   0.00
 46., 960.00, -4.40, -5.26, 53.43, 57.49,  1.046,  4.765, -2.84, -1.80,  7.74 , 78.23,  97.45, -23.45,0.,0.,   0.00,   0.00
 46.,1020.00, -7.89, -8.15, 58.24, 59.58,  1.047,  4.769, -7.42, -5.97,  7.74 , 87.87,  10.21, -26.93,0.,0.,   0.00,   0.00
 46.,1080.00, -9.39, -9.11, 63.23, 61.67,  1.048,  4.774, -9.90, -8.10,  7.74 , 90.00,   0.00, -27.98,0.,0.,   0.00,   0.00
 46.,1140.00,-10.04, -9.71, 65.70, 63.76,  1.049,  4.778,-10.66, -9.04,  7.74 , 90.00,   0.00, -28.59,0.,0.,   0.00,   0.00
 46.,1200.00,-10.52,-10.19, 67.85, 65.85,  1.050,  4.783,-11.14, -9.65,  7.74 , 90.00,   0.00, -29.06,0.,0.,   0.00,   0.00
